,Drug Type,Sex,with/without?,Opioid Type,Deaths,Death Rate,Year,Population Type
0,Prescription opioids,Female,overall,overall,1022.0,1.7,1999,Overall
1,Prescription opioids,Male,overall,overall,2420.0,0.0,1999,Overall
2,Prescription opioids,Female,with,synthetic,65.0,0.1,1999,Overall
3,Prescription opioids,Male,with,synthetic,77.0,1.2,1999,Overall
4,Synthetic opioids,Female,overall,overall,330.0,0.3,1999,Overall
5,Synthetic opioids,Male,overall,overall,400.0,0.7,1999,Overall
6,Heroin,Female,overall,overall,306.0,1.2,1999,Overall
7,Heroin,Male,overall,overall,1654.0,,1999,Overall
8,Heroin,Female,with,synthetic,4.0,,1999,Overall
9,Heroin,Male,with,synthetic,11.0,,1999,Overall
10,Stimulants,Female,overall,overall,980.0,2.3,1999,Overall
11,Stimulants,Male,overall,overall,3291.0,0.7,1999,Overall
12,Stimulants,Female,with,any,433.0,1.2,1999,Overall
13,Stimulants,Male,with,any,1668.0,0.8,1999,Overall
14,Stimulants,Female,with,synthetic,16.0,0.0,1999,Overall
15,Stimulants,Male,with,synthetic,42.0,1.5,1999,Overall
16,Cocaine,Female,overall,overall,850.0,2.1,1999,Overall
17,Cocaine,Male,overall,overall,2972.0,0.7,1999,Overall
18,Cocaine,Female,with,any,399.0,1.1,1999,Overall
19,Cocaine,Male,with,any,1565.0,0.7,1999,Overall
20,Cocaine,Female,with,synthetic,13.0,,1999,Overall
21,Cocaine,Male,with,synthetic,34.0,,1999,Overall
22,Psychostimulants,Female,overall,overall,158.0,0.3,1999,Overall
23,Psychostimulants,Male,overall,overall,389.0,0.1,1999,Overall
24,Psychostimulants,Female,with,any,46.0,0.1,1999,Overall
25,Psychostimulants,Male,with,any,141.0,0.1,1999,Overall
26,Psychostimulants,Female,with,synthetic,3.0,,1999,Overall
27,Psychostimulants,Male,with,synthetic,8.0,,1999,Overall
28,Benzodiazepines,Female,overall,overall,420.0,0.5,1999,Overall
29,Benzodiazepines,Male,overall,overall,715.0,0.2,1999,Overall
30,Benzodiazepines,Female,with,any,233.0,0.3,1999,Overall
31,Benzodiazepines,Male,with,any,468.0,0.2,1999,Overall
32,Benzodiazepines,Female,with,synthetic,51.0,,1999,Overall
33,Benzodiazepines,Male,with,synthetic,71.0,,1999,Overall
34,Antidepressants,Female,overall,overall,926.0,0.6,1999,Overall
35,Antidepressants,Male,overall,overall,823.0,0.2,1999,Overall
36,Antidepressants,Female,with,any,312.0,0.2,1999,Overall
37,Antidepressants,Male,with,any,299.0,0.39999999999999997,1999,Overall
38,Antidepressants,Female,with,synthetic,61.0,,1999,Overall
39,Antidepressants,Male,with,synthetic,61.0,,1999,Overall
40,Prescription opioids,Female,overall,overall,1236.0,1.8,2000,Overall
41,Prescription opioids,Male,overall,overall,2549.0,0.0,2000,Overall
42,Prescription opioids,Female,with,synthetic,76.0,0.1,2000,Overall
43,Prescription opioids,Male,with,synthetic,91.0,1.3,2000,Overall
44,Synthetic opioids,Female,overall,overall,374.0,0.3,2000,Overall
45,Synthetic opioids,Male,overall,overall,408.0,0.7,2000,Overall
46,Heroin,Female,overall,overall,279.0,1.1,2000,Overall
47,Heroin,Male,overall,overall,1563.0,,2000,Overall
48,Heroin,Female,with,synthetic,7.0,,2000,Overall
49,Heroin,Male,with,synthetic,11.0,,2000,Overall
50,Stimulants,Female,overall,overall,980.0,2.2,2000,Overall
51,Stimulants,Male,overall,overall,3037.0,0.7,2000,Overall
52,Stimulants,Female,with,any,422.0,1.1,2000,Overall
53,Stimulants,Male,with,any,1550.0,0.7,2000,Overall
54,Stimulants,Female,with,synthetic,15.0,0.0,2000,Overall
55,Stimulants,Male,with,synthetic,36.0,1.4,2000,Overall
56,Cocaine,Female,overall,overall,843.0,1.9,2000,Overall
57,Cocaine,Male,overall,overall,2701.0,0.6,2000,Overall
58,Cocaine,Female,with,any,387.0,1.0,2000,Overall
59,Cocaine,Male,with,any,1447.0,0.7000000000000001,2000,Overall
60,Cocaine,Female,with,synthetic,13.0,,2000,Overall
61,Cocaine,Male,with,synthetic,33.0,,2000,Overall
62,Psychostimulants,Female,overall,overall,164.0,0.3,2000,Overall
63,Psychostimulants,Male,overall,overall,414.0,0.1,2000,Overall
64,Psychostimulants,Female,with,any,49.0,0.1,2000,Overall
65,Psychostimulants,Male,with,any,153.0,0.1,2000,Overall
66,Psychostimulants,Female,with,synthetic,3.0,,2000,Overall
67,Psychostimulants,Male,with,synthetic,4.0,,2000,Overall
68,Benzodiazepines,Female,overall,overall,480.0,0.6,2000,Overall
69,Benzodiazepines,Male,overall,overall,818.0,0.3,2000,Overall
70,Benzodiazepines,Female,with,any,310.0,0.4,2000,Overall
71,Benzodiazepines,Male,with,any,582.0,0.2,2000,Overall
72,Benzodiazepines,Female,with,synthetic,55.0,,2000,Overall
73,Benzodiazepines,Male,with,synthetic,81.0,,2000,Overall
74,Antidepressants,Female,overall,overall,984.0,0.6,2000,Overall
75,Antidepressants,Male,overall,overall,814.0,0.3,2000,Overall
76,Antidepressants,Female,with,any,387.0,0.2,2000,Overall
77,Antidepressants,Male,with,any,292.0,0.3,2000,Overall
78,Antidepressants,Female,with,synthetic,77.0,0.0,2000,Overall
79,Antidepressants,Male,with,synthetic,46.0,,2000,Overall
80,Prescription opioids,Female,overall,overall,1608.0,2.2,2001,Overall
81,Prescription opioids,Male,overall,overall,3162.0,0.1,2001,Overall
82,Prescription opioids,Female,with,synthetic,86.0,0.1,2001,Overall
83,Prescription opioids,Male,with,synthetic,113.0,1.5999999999999999,2001,Overall
84,Synthetic opioids,Female,overall,overall,447.0,0.4,2001,Overall
85,Synthetic opioids,Male,overall,overall,510.0,0.6,2001,Overall
86,Heroin,Female,overall,overall,313.0,1.0,2001,Overall
87,Heroin,Male,overall,overall,1466.0,,2001,Overall
88,Heroin,Female,with,synthetic,4.0,,2001,Overall
89,Heroin,Male,with,synthetic,11.0,,2001,Overall
90,Stimulants,Female,overall,overall,1083.0,2.3,2001,Overall
91,Stimulants,Male,overall,overall,3225.0,0.7,2001,Overall
92,Stimulants,Female,with,any,480.0,1.1,2001,Overall
93,Stimulants,Male,with,any,1516.0,0.8,2001,Overall
94,Stimulants,Female,with,synthetic,28.0,0.0,2001,Overall
95,Stimulants,Male,with,synthetic,52.0,1.5,2001,Overall
96,Cocaine,Female,overall,overall,957.0,2.0,2001,Overall
97,Cocaine,Male,overall,overall,2876.0,0.6,2001,Overall
98,Cocaine,Female,with,any,453.0,1.0,2001,Overall
99,Cocaine,Male,with,any,1433.0,0.7000000000000001,2001,Overall
100,Cocaine,Female,with,synthetic,25.0,,2001,Overall
101,Cocaine,Male,with,synthetic,50.0,,2001,Overall
102,Psychostimulants,Female,overall,overall,152.0,0.3,2001,Overall
103,Psychostimulants,Male,overall,overall,411.0,0.1,2001,Overall
104,Psychostimulants,Female,with,any,42.0,0.1,2001,Overall
105,Psychostimulants,Male,with,any,122.0,0.1,2001,Overall
106,Psychostimulants,Female,with,synthetic,3.0,,2001,Overall
107,Psychostimulants,Male,with,synthetic,3.0,,2001,Overall
108,Benzodiazepines,Female,overall,overall,614.0,0.7,2001,Overall
109,Benzodiazepines,Male,overall,overall,980.0,0.4,2001,Overall
110,Benzodiazepines,Female,with,any,411.0,0.5,2001,Overall
111,Benzodiazepines,Male,with,any,710.0,0.19999999999999996,2001,Overall
112,Benzodiazepines,Female,with,synthetic,83.0,0.1,2001,Overall
113,Benzodiazepines,Male,with,synthetic,103.0,0.5,2001,Overall
114,Antidepressants,Female,overall,overall,1009.0,0.7,2001,Overall
115,Antidepressants,Male,overall,overall,1008.0,0.3,2001,Overall
116,Antidepressants,Female,with,any,426.0,0.3,2001,Overall
117,Antidepressants,Male,with,any,464.0,0.39999999999999997,2001,Overall
