Drug Type,Demographic,Death Rate,Year
Total Overdose Deaths,Overall,6.1,1999
Total Overdose Deaths,White (Non-Hispanic),6.2,1999
Total Overdose Deaths,Black (Non-Hispanic),7.5,1999
Total Overdose Deaths,Asian (Non-Hispanic),,1999
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Total Overdose Deaths,Hispanic,5.4,1999
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),6.0,1999
Any opioid,Overall,2.9,1999
Any opioid,White (Non-Hispanic),2.8,1999
Any opioid,Black (Non-Hispanic),3.5,1999
Any opioid,Asian (Non-Hispanic),0.3,1999
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Any opioid,Hispanic,3.5,1999
Any opioid,American Indian or Alaska Native (Non-Hispanic),2.9,1999
Prescription opioids,Overall,1.2,1999
Prescription opioids,White (Non-Hispanic),1.3,1999
Prescription opioids,Black (Non-Hispanic),0.8,1999
Prescription opioids,Asian (Non-Hispanic),,1999
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Prescription opioids,Hispanic,1.6,1999
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),1.318,1999
Synthetic opioids,Overall,0.3,1999
Synthetic opioids,White (Non-Hispanic),0.3,1999
Synthetic opioids,Black (Non-Hispanic),0.1,1999
Synthetic opioids,Asian (Non-Hispanic),,1999
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Synthetic opioids,Hispanic,0.1,1999
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),,1999
Heroin,Overall,0.7,1999
Heroin,White (Non-Hispanic),0.7,1999
Heroin,Black (Non-Hispanic),0.8,1999
Heroin,Asian (Non-Hispanic),,1999
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Heroin,Hispanic,1.1,1999
Heroin,American Indian or Alaska Native (Non-Hispanic),,1999
Stimulants,Overall,1.5,1999
Stimulants,White (Non-Hispanic),1.2,1999
Stimulants,Black (Non-Hispanic),3.7,1999
Stimulants,Asian (Non-Hispanic),,1999
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Stimulants,Hispanic,1.8,1999
Stimulants,American Indian or Alaska Native (Non-Hispanic),1.1,1999
Cocaine,Overall,1.4,1999
Cocaine,White (Non-Hispanic),1.0,1999
Cocaine,Black (Non-Hispanic),3.7,1999
Cocaine,Asian (Non-Hispanic),,1999
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Cocaine,Hispanic,1.7,1999
Cocaine,American Indian or Alaska Native (Non-Hispanic),0.9,1999
Psychostimulants,Overall,0.2,1999
Psychostimulants,White (Non-Hispanic),0.2,1999
Psychostimulants,Black (Non-Hispanic),0.1,1999
Psychostimulants,Asian (Non-Hispanic),,1999
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,1999
Psychostimulants,Hispanic,0.2,1999
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),,1999
Total Overdose Deaths,Overall,6.2,2000
Total Overdose Deaths,White (Non-Hispanic),6.6,2000
Total Overdose Deaths,Black (Non-Hispanic),7.3,2000
Total Overdose Deaths,Asian (Non-Hispanic),,2000
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Total Overdose Deaths,Hispanic,4.6,2000
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),5.5,2000
Any opioid,Overall,3.0,2000
Any opioid,White (Non-Hispanic),3.1,2000
Any opioid,Black (Non-Hispanic),3.5,2000
Any opioid,Asian (Non-Hispanic),0.3,2000
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Any opioid,Hispanic,2.7,2000
Any opioid,American Indian or Alaska Native (Non-Hispanic),2.7,2000
Prescription opioids,Overall,1.3,2000
Prescription opioids,White (Non-Hispanic),1.6,2000
Prescription opioids,Black (Non-Hispanic),0.8,2000
Prescription opioids,Asian (Non-Hispanic),,2000
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Prescription opioids,Hispanic,1.1,2000
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),1.334,2000
Synthetic opioids,Overall,0.3,2000
Synthetic opioids,White (Non-Hispanic),0.3,2000
Synthetic opioids,Black (Non-Hispanic),0.1,2000
Synthetic opioids,Asian (Non-Hispanic),,2000
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Synthetic opioids,Hispanic,0.1,2000
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),,2000
Heroin,Overall,0.7,2000
Heroin,White (Non-Hispanic),0.6,2000
Heroin,Black (Non-Hispanic),0.9,2000
Heroin,Asian (Non-Hispanic),,2000
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Heroin,Hispanic,0.9,2000
Heroin,American Indian or Alaska Native (Non-Hispanic),,2000
Stimulants,Overall,1.4,2000
Stimulants,White (Non-Hispanic),1.2,2000
Stimulants,Black (Non-Hispanic),3.4,2000
Stimulants,Asian (Non-Hispanic),,2000
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Stimulants,Hispanic,1.4,2000
Stimulants,American Indian or Alaska Native (Non-Hispanic),1.2,2000
Cocaine,Overall,1.3,2000
Cocaine,White (Non-Hispanic),1.0,2000
Cocaine,Black (Non-Hispanic),3.3,2000
Cocaine,Asian (Non-Hispanic),,2000
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Cocaine,Hispanic,1.3,2000
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.0,2000
Psychostimulants,Overall,0.2,2000
Psychostimulants,White (Non-Hispanic),0.2,2000
Psychostimulants,Black (Non-Hispanic),,2000
Psychostimulants,Asian (Non-Hispanic),,2000
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2000
Psychostimulants,Hispanic,0.2,2000
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),,2000
Total Overdose Deaths,Overall,6.8,2001
Total Overdose Deaths,White (Non-Hispanic),7.4,2001
Total Overdose Deaths,Black (Non-Hispanic),7.6,2001
Total Overdose Deaths,Asian (Non-Hispanic),,2001
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Total Overdose Deaths,Hispanic,4.5,2001
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),6.9,2001
Any opioid,Overall,3.3,2001
Any opioid,White (Non-Hispanic),3.7,2001
Any opioid,Black (Non-Hispanic),3.3,2001
Any opioid,Asian (Non-Hispanic),0.3,2001
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Any opioid,Hispanic,2.6,2001
Any opioid,American Indian or Alaska Native (Non-Hispanic),3.5,2001
Prescription opioids,Overall,1.7,2001
Prescription opioids,White (Non-Hispanic),2.0,2001
Prescription opioids,Black (Non-Hispanic),0.9,2001
Prescription opioids,Asian (Non-Hispanic),0.2,2001
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Prescription opioids,Hispanic,1.1,2001
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),1.95,2001
Synthetic opioids,Overall,0.3,2001
Synthetic opioids,White (Non-Hispanic),0.4,2001
Synthetic opioids,Black (Non-Hispanic),0.2,2001
Synthetic opioids,Asian (Non-Hispanic),,2001
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Synthetic opioids,Hispanic,0.1,2001
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),,2001
Heroin,Overall,0.6,2001
Heroin,White (Non-Hispanic),0.6,2001
Heroin,Black (Non-Hispanic),0.8,2001
Heroin,Asian (Non-Hispanic),,2001
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Heroin,Hispanic,0.9,2001
Heroin,American Indian or Alaska Native (Non-Hispanic),,2001
Stimulants,Overall,1.5,2001
Stimulants,White (Non-Hispanic),1.3,2001
Stimulants,Black (Non-Hispanic),3.6,2001
Stimulants,Asian (Non-Hispanic),,2001
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Stimulants,Hispanic,1.5,2001
Stimulants,American Indian or Alaska Native (Non-Hispanic),1.4,2001
Cocaine,Overall,1.3,2001
Cocaine,White (Non-Hispanic),1.0,2001
Cocaine,Black (Non-Hispanic),3.6,2001
Cocaine,Asian (Non-Hispanic),0.2,2001
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Cocaine,Hispanic,1.3,2001
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.0,2001
Psychostimulants,Overall,0.2,2001
Psychostimulants,White (Non-Hispanic),0.2,2001
Psychostimulants,Black (Non-Hispanic),,2001
Psychostimulants,Asian (Non-Hispanic),0.2,2001
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2001
Psychostimulants,Hispanic,0.2,2001
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),,2001
Total Overdose Deaths,Overall,8.2,2002
Total Overdose Deaths,White (Non-Hispanic),9.2,2002
Total Overdose Deaths,Black (Non-Hispanic),8.2,2002
Total Overdose Deaths,Asian (Non-Hispanic),,2002
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Total Overdose Deaths,Hispanic,5.4,2002
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),8.5,2002
Any opioid,Overall,4.1,2002
Any opioid,White (Non-Hispanic),4.7,2002
Any opioid,Black (Non-Hispanic),3.6,2002
Any opioid,Asian (Non-Hispanic),0.5,2002
Any opioid,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Any opioid,Hispanic,3.2,2002
Any opioid,American Indian or Alaska Native (Non-Hispanic),4.1,2002
Prescription opioids,Overall,2.3,2002
Prescription opioids,White (Non-Hispanic),2.8,2002
Prescription opioids,Black (Non-Hispanic),1.2,2002
Prescription opioids,Asian (Non-Hispanic),0.3,2002
Prescription opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Prescription opioids,Hispanic,1.4,2002
Prescription opioids,American Indian or Alaska Native (Non-Hispanic),2.563,2002
Synthetic opioids,Overall,0.4,2002
Synthetic opioids,White (Non-Hispanic),0.6,2002
Synthetic opioids,Black (Non-Hispanic),0.2,2002
Synthetic opioids,Asian (Non-Hispanic),,2002
Synthetic opioids,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Synthetic opioids,Hispanic,0.2,2002
Synthetic opioids,American Indian or Alaska Native (Non-Hispanic),,2002
Heroin,Overall,0.7,2002
Heroin,White (Non-Hispanic),0.7,2002
Heroin,Black (Non-Hispanic),0.9,2002
Heroin,Asian (Non-Hispanic),,2002
Heroin,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Heroin,Hispanic,1.0,2002
Heroin,American Indian or Alaska Native (Non-Hispanic),,2002
Stimulants,Overall,1.9,2002
Stimulants,White (Non-Hispanic),1.7,2002
Stimulants,Black (Non-Hispanic),4.0,2002
Stimulants,Asian (Non-Hispanic),,2002
Stimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Stimulants,Hispanic,1.8,2002
Stimulants,American Indian or Alaska Native (Non-Hispanic),1.6,2002
Cocaine,Overall,1.6,2002
Cocaine,White (Non-Hispanic),1.3,2002
Cocaine,Black (Non-Hispanic),4.0,2002
Cocaine,Asian (Non-Hispanic),0.2,2002
Cocaine,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Cocaine,Hispanic,1.5,2002
Cocaine,American Indian or Alaska Native (Non-Hispanic),1.1,2002
Psychostimulants,Overall,0.3,2002
Psychostimulants,White (Non-Hispanic),0.4,2002
Psychostimulants,Black (Non-Hispanic),0.1,2002
Psychostimulants,Asian (Non-Hispanic),0.2,2002
Psychostimulants,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2002
Psychostimulants,Hispanic,0.3,2002
Psychostimulants,American Indian or Alaska Native (Non-Hispanic),,2002
Total Overdose Deaths,Overall,8.9,2003
Total Overdose Deaths,White (Non-Hispanic),10.2,2003
Total Overdose Deaths,Black (Non-Hispanic),8.2,2003
Total Overdose Deaths,Asian (Non-Hispanic),,2003
Total Overdose Deaths,Native Hawaiin or Other Pacific Islander (Non-Hispanic),,2003
Total Overdose Deaths,Hispanic,5.6,2003
Total Overdose Deaths,American Indian or Alaska Native (Non-Hispanic),10.8,2003
Any opioid,Overall,4.5,2003
Any opioid,White (Non-Hispanic),5.2,2003
Any opioid,Black (Non-Hispanic),3.5,2003
